a52dec 0.7.4-9
libpgm 5.2.122-2
libpipeline 1.4.1-1
libpng 1.6.23-1
libproxy 0.4.12-2
libpulse 9.0-1
libraw 0.17.2-1
libraw1394 2.1.2-1
libreoffice-fresh 5.1.4-1
librevenge 0.0.4-1
librsvg 2:2.40.16-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.3.1-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsigc++ 2.8.0-1
libsigsegv 2.10-2
libsm 1.2.2-2
libsndfile 1.0.27-1
libsodium 1.0.10-1
libsoup 2.54.1-1
libsoxr 0.1.2-1
libsrtp 1:1.5.4-1
libssh 0.7.3-1
libssh2 1.7.0-2
libsynctex 2015.37497-12
libsystemd 230-5
libtar 1.2.20-2
libtasn1 4.8-2
libthai 0.1.24-1
libtheora 1.1.1-3
libtiff 4.0.6-2
libtiger 0.3.4-4
libtinfo 6-7
libtirpc 1.0.1-2
libtool 2.4.6-5
libtxc_dxtn 1.0.1-6
libunistring 0.9.6-2
libunwind 1.1-3
libupnp 1.6.19-1
libusb 1.0.20-1
libusb-compat 0.1.5-1
libuser 0.62-1
libutempter 1.1.6-2
libutil-linux 2.28-1
libuv 1.9.1-1
libva 1.7.1-1
libvdpau 1.1.1-2
libvirt 2.0.0-1
libvirt-glib 0.2.3-1
libvirt-python 2.0.0-1
libvisio 0.1.5-2
libvisual 0.4.0-6
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.5.0-4
libwacom 0.18-1
libwbclient 4.4.4-1
libwebp 0.5.0-1
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.3-1
libx11 1.6.3-1
libx264 2:148.20160103-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.2-1
libxfont 1.5.1-1
libxft 2.3.2-1
libxi 1.7.6-1
libxinerama 1.1.3-2
libxkbcommon 0.6.1-1
libxkbcommon-x11 0.6.1-1
libxkbfile 1.0.9-1
libxml2 2.9.4+0+gbdec218-2
libxmu 1.1.2-1
libxp 1.0.3-1
libxpm 3.5.11-1
libxrandr 1.5.0-1
libxrender 0.9.9-1
libxshmfence 1.2-1
libxslt 1.1.29-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.9-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.6-1
libzen 0.4.33-1
licenses 20140629-1
linux 4.6.3-1
linux-api-headers 4.5.5-1
linux-firmware 20160516.80d463b-1
linux-headers 4.6.3-1
linux-lts 4.4.14-1
linux-lts-headers 4.4.14-1
lirc 1:0.9.3.a-2
llvm-libs 3.8.0-1
lm_sensors 3.4.0-1
logrotate 3.9.2-1
love08 0.8.0-2
lpsolve 5.5.2.3-1
lsof 4.89-1
lua 5.3.3-1
lua52 5.2.4-1
luajit 2.0.4-2
lvm2 2.02.157-1
lxc 1:2.0.3-1
lynx 2.8.8-4
lz4 131-1
lzo 2.09-1
m4 1.4.17-2
make 4.2.1-1
man-db 2.7.5-2
man-pages 4.06-1
mari0 1.6-2
mathjax 2.6.1-1
mcpp 2.7.2-5
mdadm 3.4-1
mediainfo 0.7.87-1
mencoder 37857-1
mercurial 3.8.3-1
mesa 11.2.2-1
mesa-demos 8.3.0-1
mime-types 9-1
mjpegtools 2.1.0-2
mkinitcpio 19-1
mkinitcpio-busybox 1.24.2-1
mongodb 3.2.6-2
mongodb-tools 3.2.5-1
mono 4.4.0.40-2
mozilla-common 1.4-4
mpfr 3.1.4.p1-1
mpg123 1.23.5-1
mplayer 37857-1
mtdev 1.1.5-1
mupdf 1.9_a-3
nano 2.6.1-1
ncdu 1.11-3
ncurses 6.0-4
ncurses5-compat-libs 6.0-2
neon 0.30.1-2
net-snmp 5.7.3-3
net-tools 1.60.20130531git-1
netcdf 4.4.1rc1-1
netcf 0.2.8-3
netctl 1.12-2
nettle 3.2-2
newt-syrup 0.2.0-1
nmap 7.12-1
nodejs 6.2.2-1
npm 3.10.3-1
npth 1.2-1
nspr 4.12-1
nss 3.24-1
ntp 4.2.8.p8-1
numactl 2.0.11-1
nvidia 367.27-1
nvidia-libgl 367.27-1
nvidia-utils 367.27-1
ocl-icd 2.2.9-1
openal 1.17.2-2
openbsd-netcat 1.105_7-7
opencl-headers 2:2.1.20151224-1
opencl-nvidia 367.27-1
opencore-amr 0.1.3-2
opencv 3.1.0-3
opencv-samples 3.1.0-3
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.1.0-1
openmpi 1.10.3-1
openresolv 3.8.1-1
openssh 7.2p2-2
openssl 1.0.2.h-1
opus 1.1.2-1
orc 0.4.25-2
p11-kit 0.23.2-1
packagekit 1.1.1-3
packer 20140817-1
pacman 5.0.1-4
pacman-mirrorlist 20160614-1
pam 1.2.1-3
pambase 20130928-1
pandoc 1.17.1-7
pango 1.40.1-1
pangomm 2.40.0-1
pangox-compat 0.0.2-2
parted 3.2-4
patch 2.7.5-1
patchelf 0.9-1
pciutils 3.5.1-1
pcmciautils 018-7
pcre 8.39-1
pcre2 10.21-1
perf 4.6-4
perl 5.24.0-1
perl-encode-locale 1.05-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-file-listing 6.04-2
perl-file-which 1.21-1
perl-html-parser 3.72-2
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.11-2
perl-http-negotiate 6.01-2
perl-io-html 1.001-1
perl-ipc-system-simple 1.25-1
perl-libwww 6.15-1
perl-lwp-mediatypes 6.02-2
perl-net-http 6.09-1
perl-uri 1.71-1
perl-www-robotrules 6.02-2
perl-xml-parser 2.44-3
physfs 2.0.3-2
pinentry 0.9.7-2
pixman 0.34.0-1
pkg-config 0.29.1-1
polkit 0.113-4
ponymix 5-1
poppler 0.42.0-1
poppler-glib 0.42.0-1
popt 1.16-8
portmidi 217-5
potrace 1.13-1
ppp 2.4.7-2
pptpclient 1.8.0-2
printproto 1.0.5-3
procps-ng 3.3.11-2
psmisc 22.21-3
pth 2.0.7-5
pulseaudio 9.0-1
pygobject-devel 3.20.0-2
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
pyqt5-common 5.6-1
python 3.5.1-2
python-dbus 1.2.4-1
python-dbus-common 1.2.4-1
python-decorator 4.0.10-1
python-ipykernel 4.3.1-1
python-jedi 0.9.0-2
python-jinja 2.8-2
python-jsonschema 2.5.1-3
python-markupsafe 0.23-3
python-mistune 0.7.2-1
python-nose 1.3.7-2
python-packaging 16.7-1
python-path 8.2.1-1
python-pexpect 4.1.0-1
python-pip 8.1.2-1
python-ptyprocess 0.5.1-1
python-pygments 2.1.3-1
python-pyparsing 2.1.5-1
python-pyqt5 5.6-1
python-pyside 1.2.4-3
python-pyside-common 1.2.4-3
python-pyzmq 15.2.0-1
python-setuptools 1:23.1.0-1
python-shiboken 1.2.4-2
python-sip 4.18-1
python-six 1.10.0-1
python-terminado 0.6-1
python-tornado 4.3.0-1
python-xdg 0.25-3
python2 2.7.11-3
python2-backports 1.0-1
python2-backports.shutil_get_terminal_size 1.0.0-1
python2-cairo 1.10.0-2
python2-chardet 2.3.0-2
python2-dbus 1.2.4-1
python2-decorator 4.0.10-1
python2-gconf 2.28.1-9
python2-gobject 3.20.0-2
python2-gobject2 2.28.6-12
python2-ipaddr 2.1.11-1
python2-ipy 0.83-1
python2-jedi 0.9.0-2
python2-numpy 1.11.0-1
python2-opengl 3.1.0-2
python2-packaging 16.7-1
python2-path 8.2.1-1
python2-pathlib 1.0.1-3
python2-pexpect 4.1.0-1
python2-pillow 3.2.0-1
python2-pip 8.1.2-1
python2-ptyprocess 0.5.1-1
python2-pycurl 7.43.0-1
python2-pygame 1.9.1-10
python2-pyparsing 2.1.5-1
python2-pyqt5 5.6-1
python2-pyside 1.2.4-3
python2-requests 2.10.0-1
python2-setuptools 1:23.1.0-1
python2-shiboken 1.2.4-2
python2-sip 4.18-1
python2-six 1.10.0-1
python2-urllib3 1.16-1
qemu 2.6.0-1
qt4 4.8.7-9
qt5-base 5.7.0-1
qt5-canvas3d 5.7.0-1
qt5-declarative 5.7.0-2
qt5-location 5.7.0-1
qt5-sensors 5.7.0-1
qt5-serialport 5.7.0-1
qt5-svg 5.7.0-1
qt5-tools 5.7.0-1
qt5-translations 5.7.0-1
qt5-webchannel 5.7.0-1
qt5-webkit 5.7.0-1
qt5-x11extras 5.7.0-1
qt5-xmlpatterns 5.7.0-1
qtchooser 53-2
qtwebkit 2.3.4-4
randrproto 1.5.0-1
ranger 1.7.2-1
raptor 2.0.15-4
rarian 0.8.1-5
rasqal 1:0.9.33-1
readline 6.3.008-4
recode 3.6-9
recordproto 1.14.2-2
redland 1:1.0.17-3
redshift 1.11-3
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.8.0-1
rhino 1.7.7.1-1
rsync 3.1.2-1
rtkit 0.11-5
rtmpdump 1:2.4.r96.fa8646d-2
ruby 2.3.1-1
run-parts 4.7-1
runc 0.1.1-1
s-nail 14.8.9-1
sane 1.0.25-1
sbc 1.3-1
schroedinger 1.0.11-3
scponly 4.8-9
screen 4.4.0-1
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdcc 3.6.0-2
sdl 1.2.15-7
sdl2 2.0.4-2
sdl_gfx 2.0.25-1
sdl_image 1.2.12-3
sdl_mixer 1.2.12-4
sdl_ttf 2.0.11-3
seabios 1.9.2-1
sed 4.2.2-4
semver 5.2.0-1
serf 1.3.8-2
serviio 1.5.2-2
shadow 4.2.1-3
shared-mime-info 1.6-2
sharutils 4.15.2-2
shiboken 1.2.4-2
shotwell 1:0.23.1-1
simple-scan 3.20.0-1
sip 4.18-1
skype 4.3.0.37-7
